Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Matt Chapman","SFG",0.27718833,0.65776294,0.44567627,0.68660287,0.84898477,0.79270315,0.44271988,0.64142195,0.09225092,0.19188192,0.28413284,"Matt Chapman",16505,656305
"Travis d'Arnaud","ATL",0.31666667,0.76829268,0.50812408,0.58299595,0.77777778,0.70784884,0.4239291,0.65982405,0.14823009,0.13569322,0.2839233,"Travis d'Arnaud",7739,518595
"Emmanuel Rivera","- - -",0.32267442,0.72354212,0.48392702,0.54954955,0.85373134,0.73249551,0.40225891,0.63576159,0.12945265,0.15377932,0.28323197,"Emmanuel Rivera",19890,656896
"Hunter Goodman","COL",0.43647541,0.78761062,0.58041112,0.54929577,0.83520599,0.70833333,0.40991536,0.64285714,0.16908213,0.11352657,0.2826087,"Hunter Goodman",29715,696100
"Wilyer Abreu","BOS",0.31412104,0.70196078,0.47840532,0.617737,0.81191806,0.73842593,0.42358804,0.61073826,0.12513843,0.1572536,0.28239203,"Wilyer Abreu",23772,677800
"Mickey Moniak","LAA",0.42185792,0.76252019,0.55932203,0.61917098,0.81355932,0.72610723,0.40352021,0.67703349,0.15319426,0.12907432,0.28226858,"Mickey Moniak",19956,666160
"Spencer Torkelson","DET",0.26674365,0.69413408,0.46017699,0.54112554,0.861167,0.75961538,0.45259166,0.60629921,0.11097179,0.17115987,0.28213166,"Spencer Torkelson",27465,679529
"Ryan Jeffers","MIN",0.36808118,0.65927978,0.48449612,0.67418546,0.87184874,0.78171429,0.39977852,0.62365591,0.10564159,0.17588496,0.28152655,"Ryan Jeffers",24618,680777
"Jesús Sánchez","MIA",0.39212469,0.74740933,0.52988448,0.57322176,0.83362218,0.71563981,0.38774485,0.67039106,0.15052684,0.1304566,0.28098344,"Jesus Sanchez",19913,660821
"Eddie Rosario","- - -",0.3701016,0.72891566,0.52064027,0.62745098,0.82093664,0.74110032,0.41954507,0.5862069,0.13456686,0.14634146,0.28090833,"Eddie Rosario",12155,592696
"Riley Greene","DET",0.26353791,0.68266405,0.44139651,0.60547945,0.83213773,0.75423729,0.42435578,0.60273973,0.11009934,0.1705298,0.28062914,"Riley Greene",25976,682985
"James McCann","BAL",0.36734694,0.7038961,0.51542857,0.57777778,0.84501845,0.7383592,0.44,0.61802575,0.1345496,0.14595211,0.28050171,"James McCann",12859,543510
"Thairo Estrada","SFG",0.39370079,0.67641682,0.5118411,0.66333333,0.91891892,0.80447761,0.41787624,0.69291339,0.10007639,0.1802903,0.28036669,"Thairo Estrada",16426,642731
"Bryan De La Cruz","- - -",0.37050106,0.77151639,0.53405767,0.60952381,0.81142098,0.728482,0.40785625,0.64630225,0.14488518,0.13528184,0.28016701,"Bryan De La Cruz",19600,650559
"Gavin Sheets","CHW",0.35251799,0.62440191,0.46142789,0.6984127,0.8697318,0.79127726,0.40057499,0.57285429,0.09621829,0.18382001,0.2800383,"Gavin Sheets",19901,657757
"Jake Cave","COL",0.38569604,0.71886121,0.52490706,0.63245033,0.82673267,0.74362606,0.41784387,0.63294798,0.13437268,0.14550854,0.27988122,"Jake Cave",14477,595909
"Brandon Drury","LAA",0.29449424,0.68506494,0.46671439,0.64782609,0.84597156,0.77607362,0.44094488,0.65,0.10443491,0.17525036,0.27968526,"Brandon Drury",11615,592273
"Jacob Young","WSN",0.28571429,0.59668508,0.42966752,0.72,0.89444444,0.83214286,0.4629156,0.64491363,0.07208589,0.20756646,0.27965235,"Jacob Young",29931,696285
"Heliot Ramos","SFG",0.3302521,0.75395859,0.50323222,0.5394402,0.84975767,0.72924901,0.4082546,0.61196911,0.13625062,0.14321233,0.27946295,"Heliot Ramos",22515,671218
"Connor Wong","BOS",0.33269045,0.74123337,0.5139485,0.54492754,0.84176183,0.7348643,0.44366953,0.65092402,0.13619303,0.14316354,0.27935657,"Connor Wong",19896,657136
"Willi Castro","MIN",0.35907859,0.73088093,0.51215624,0.53962264,0.86754967,0.73229572,0.41171782,0.6503937,0.13699721,0.14217443,0.27917164,"Willi Castro",17338,650489
"DJ LeMahieu","NYY",0.32196162,0.59574468,0.44378698,0.70860927,0.94642857,0.85066667,0.44497041,0.60964912,0.06619385,0.21276596,0.27895981,"DJ LeMahieu",9874,518934
"Jazz Chisholm Jr.","- - -",0.31589814,0.67754319,0.46693387,0.62309368,0.79886686,0.72961373,0.41763527,0.5958132,0.12605042,0.15286114,0.27891156,"Jazz Chisholm Jr.",20454,665862
"Andy Ibáñez","DET",0.36397749,0.75,0.52562704,0.56185567,0.84375,0.73029046,0.41875682,0.5942623,0.1416122,0.1372549,0.2788671,"Andy Ibanez",18819,628451
"Jonathan India","CIN",0.21279461,0.59811482,0.38235294,0.67088608,0.8982808,0.82741617,0.44004525,0.59811617,0.06596306,0.21258952,0.27855258,"Jonathan India",21523,663697
"Dylan Moore","SEA",0.2234252,0.68020305,0.422949,0.59471366,0.85820896,0.77981651,0.4368071,0.60544218,0.09307479,0.18504155,0.27811634,"Dylan Moore",18042,664238
"Dansby Swanson","CHC",0.28197227,0.73982971,0.48747346,0.57650273,0.80179028,0.72996516,0.44883227,0.61888702,0.13141162,0.14667232,0.27808393,"Dansby Swanson",18314,621020
"Josh Lowe","TBR",0.36803365,0.70319001,0.51255981,0.61428571,0.8086785,0.72928821,0.4312201,0.58914729,0.13867304,0.13927077,0.27794381,"Josh Lowe",19953,666139
"Romy Gonzalez","BOS",0.40365112,0.77477477,0.55326877,0.56281407,0.85658915,0.72866521,0.4031477,0.69907407,0.14975845,0.12801932,0.27777778,"Romy Gonzalez",21562,663853
"Kyle Farmer","MIN",0.34279919,0.66580977,0.48526077,0.65680473,0.9034749,0.80607477,0.44104308,0.6322314,0.0938914,0.18325792,0.27714932,"Kyle Farmer",14813,571657
"Matt Vierling","DET",0.25558122,0.64940239,0.42726878,0.6746988,0.90184049,0.82520325,0.4359531,0.57848325,0.07525952,0.20155709,0.27681661,"Matt Vierling",21558,663837
"Nick Gordon","MIA",0.44957265,0.79669031,0.5952381,0.5513308,0.82195846,0.70333333,0.41964286,0.68,0.1765873,0.10019841,0.27678571,"Nick Gordon",16337,624503
"Jack Suwinski","PIT",0.26058632,0.714,0.46409336,0.55,0.85434174,0.76015474,0.44883303,0.59566787,0.11131059,0.16517056,0.27648115,"Jack Suwinski",22244,669261
"Lawrence Butler","OAK",0.30812854,0.71164021,0.47629548,0.61042945,0.83828996,0.75231481,0.41675854,0.57206208,0.11784141,0.15859031,0.27643172,"Lawrence Butler",22542,671732
"Dominic Smith","- - -",0.30367232,0.6640159,0.45334434,0.65116279,0.85329341,0.77413479,0.41535921,0.65798046,0.10231023,0.17409241,0.27640264,"Dominic Smith",15653,642086
"Chris Taylor","LAD",0.24871355,0.75809935,0.47418738,0.55172414,0.76068376,0.69959677,0.44263862,0.65853659,0.14244742,0.13384321,0.27629063,"Chris Taylor",13757,621035
"Tyler Soderstrom","OAK",0.32126697,0.71036585,0.48701299,0.50704225,0.84549356,0.71733333,0.42597403,0.61502347,0.13748379,0.1387808,0.27626459,"Tyler Soderstrom",27467,691016
"Tyler Nevin","OAK",0.29606299,0.71648352,0.47155963,0.61702128,0.86503067,0.77431907,0.41743119,0.57553957,0.10642202,0.16972477,0.27614679,"Tyler Nevin",17893,663527
"Josh Rojas","SEA",0.25579151,0.68518519,0.45105263,0.56603774,0.86824324,0.7747958,0.45473684,0.63445378,0.10147213,0.1745531,0.27602524,"Josh Rojas",19734,668942
"Carson Kelly","- - -",0.27883212,0.70502092,0.45399828,0.60209424,0.89317507,0.78787879,0.41100602,0.61341853,0.09540034,0.18057922,0.27597956,"Carson Kelly",13620,608348
"Brendan Rodgers","COL",0.32006774,0.7212932,0.49326275,0.56349206,0.87944359,0.76292683,0.43166506,0.66419295,0.11682692,0.15913462,0.27596154,"Brendan Rodgers",17907,663898
"Isiah Kiner-Falefa","- - -",0.32842105,0.62583222,0.45972957,0.7724359,0.94042553,0.87340153,0.441505,0.60685484,0.0578609,0.21800117,0.27586207,"Isiah Kiner-Falefa",16512,643396
"LaMonte Wade Jr.","SFG",0.23182297,0.65072464,0.40817572,0.54545455,0.89532294,0.78026906,0.42098841,0.5361596,0.08968883,0.18608908,0.27577791,"LaMonte Wade Jr.",18126,664774
"Trey Lipscomb","WSN",0.35214447,0.70623145,0.50512821,0.6025641,0.87394958,0.76649746,0.43205128,0.66824645,0.11794872,0.15769231,0.27564103,"Trey Lipscomb",31567,702358
"Jared Triolo","PIT",0.29141717,0.7152231,0.4744898,0.56164384,0.84770642,0.7479092,0.43197279,0.67713004,0.11954674,0.15524079,0.27478754,"Jared Triolo",25807,669707
"Sal Frelick","MIL",0.29594478,0.56257046,0.4115347,0.80174927,0.93987976,0.88361045,0.43352884,0.61068702,0.04787494,0.22667318,0.27454812,"Sal Frelick",29622,686217
"Colt Keith","DET",0.32693984,0.69791667,0.48632521,0.608,0.89552239,0.78527607,0.429637,0.61690647,0.10479486,0.16955017,0.27434503,"Colt Keith",27899,690993
"Kyle Isbel","KCR",0.34330011,0.60972018,0.45764855,0.68387097,0.94202899,0.83149171,0.42920354,0.59389671,0.07692308,0.19735183,0.27427491,"Kyle Isbel",21614,664728
"Danny Jansen","- - -",0.23667906,0.64604811,0.40820734,0.65968586,0.89095745,0.81305115,0.41900648,0.62037037,0.07776163,0.19622093,0.27398256,"Danny Jansen",16535,643376
"Brenton Doyle","COL",0.33719136,0.77030162,0.51019462,0.51029748,0.87048193,0.72752044,0.39944393,0.64344942,0.13901761,0.13484708,0.27386469,"Brenton Doyle",25479,686668
"Adley Rutschman","BAL",0.3239813,0.61004566,0.44483025,0.77731959,0.89670659,0.84648742,0.4224537,0.59561129,0.06823439,0.20547417,0.27370856,"Adley Rutschman",26288,668939
"Bryson Stott","PHI",0.32052267,0.59145129,0.43866493,0.79856115,0.89411765,0.85474308,0.43606415,0.62872154,0.06363636,0.20995671,0.27359307,"Bryson Stott",26294,681082
"Michael Busch","CHC",0.27446809,0.70964361,0.4500846,0.55555556,0.85376662,0.74530075,0.4035533,0.60846561,0.11458774,0.1589852,0.27357294,"Michael Busch",26319,683737
"Ian Happ","CHC",0.27148438,0.70042194,0.45828739,0.60191847,0.81686747,0.74498797,0.43550165,0.61187215,0.11674009,0.15675477,0.27349486,"Ian Happ",17919,664023
"Jeimer Candelario","CIN",0.37061611,0.73167358,0.51743532,0.6112532,0.82797732,0.73586957,0.40663667,0.64578834,0.13636364,0.1369248,0.27328844,"Jeimer Candelario",13621,600869
"Marcell Ozuna","ATL",0.2962963,0.74862385,0.46796657,0.54924242,0.81372549,0.70982143,0.37952646,0.57703488,0.13555787,0.13764338,0.27320125,"Marcell Ozuna",10324,542303
"Eloy Jiménez","- - -",0.3713491,0.69917012,0.50291424,0.61423221,0.89317507,0.76986755,0.40133222,0.63896848,0.1156406,0.15723794,0.27287854,"Eloy Jimenez",17484,650391
"Adam Frazier","KCR",0.3045388,0.68181818,0.46903386,0.67307692,0.90555556,0.82042254,0.4360033,0.61564626,0.08422791,0.18827415,0.27250206,"Adam Frazier",15223,624428
"J.P. Crawford","SEA",0.21631879,0.64836449,0.40994764,0.71491228,0.87207207,0.82630907,0.44816754,0.60310421,0.07116693,0.20094192,0.27210884,"J.P. Crawford",15491,641487
"Wyatt Langford","TEX",0.26972201,0.6572973,0.42863475,0.68523677,0.86019737,0.79524302,0.41001773,0.60682226,0.08772707,0.1838724,0.27159947,"Wyatt Langford",33333,694671
"Michael Harris II","ATL",0.42600423,0.70731707,0.54928741,0.66997519,0.83908046,0.76540541,0.43824228,0.64255319,0.12863071,0.14226437,0.27089508,"Michael Harris II",25931,671739
"Spencer Steer","CIN",0.28655738,0.66697164,0.44537815,0.60183066,0.90260631,0.78987993,0.41749427,0.60365854,0.09329779,0.17745621,0.270754,"Spencer Steer",26323,668715
"Daniel Schneemann","CLE",0.29063098,0.76719577,0.49056604,0.57894737,0.80344828,0.72624434,0.41953385,0.64253394,0.13414634,0.13636364,0.27050998,"Daniel Schneemann",25180,682177
"Jo Adell","LAA",0.34498208,0.73066298,0.49673913,0.58701299,0.81852552,0.72100656,0.39347826,0.62971175,0.13851168,0.13199348,0.27050516,"Jo Adell",20220,666176
"Kevin Pillar","- - -",0.39166667,0.71604938,0.52238806,0.62765957,0.90517241,0.78095238,0.40298507,0.61464968,0.11442786,0.15588723,0.27031509,"Kevin Pillar",12434,607680
"Daulton Varsho","TOR",0.29502573,0.71363116,0.47425208,0.64244186,0.82664526,0.76111686,0.42815105,0.62573099,0.11365854,0.15658537,0.2702439,"Daulton Varsho",19918,662139
"Anthony Rendon","LAA",0.21941748,0.60520607,0.40163934,0.7699115,0.94265233,0.89285714,0.47233607,0.69327731,0.04298874,0.2272262,0.27021494,"Anthony Rendon",12861,543685
"JJ Bleday","OAK",0.28407557,0.6983017,0.45106726,0.58907363,0.86981402,0.76428571,0.40314136,0.61370717,0.10610932,0.16398714,0.27009646,"JJ Bleday",26368,668709
"Julio Rodríguez","SEA",0.40546075,0.76278564,0.5432047,0.58585859,0.82168331,0.71351351,0.38548658,0.61990212,0.15549036,0.11399832,0.26948868,"Julio Rodriguez",23697,677594
"Gavin Lux","LAD",0.27445652,0.68427371,0.45069695,0.64026403,0.87192982,0.79152348,0.43004646,0.63039014,0.0937661,0.17568264,0.26944874,"Gavin Lux",19955,666158
"Willy Adames","MIL",0.31518258,0.73208191,0.49396268,0.57113821,0.83566434,0.73925926,0.42883278,0.59593023,0.12865497,0.14071637,0.26937135,"Willy Adames",15986,642715
"David Peralta","SDP",0.34745763,0.73349057,0.50887574,0.57073171,0.87459807,0.75387597,0.41814596,0.69615385,0.12524655,0.14398422,0.26923077,"David Peralta",2136,444482
"Elias Díaz","- - -",0.37704918,0.77924528,0.53817082,0.57190635,0.85230024,0.73455056,0.40060469,0.65242165,0.14285714,0.12622827,0.26908541,"Elias Diaz",11680,553869
"Shohei Ohtani","LAD",0.30466384,0.70513901,0.4721635,0.5944334,0.81959379,0.73507463,0.41825229,0.60191518,0.12508809,0.14376321,0.2688513,"Shohei Ohtani",19755,660271
"Zach McKinstry","DET",0.30989957,0.67934783,0.47317854,0.65740741,0.888,0.8037225,0.44195356,0.62461538,0.0928,0.176,0.2688,"Zach McKinstry",19392,656716
"Corbin Carroll","ARI",0.2769135,0.61287224,0.40898792,0.71910112,0.88401254,0.81625115,0.39312689,0.56432749,0.07512269,0.19365798,0.26878067,"Corbin Carroll",25878,682998
"Jorge Mateo","BAL",0.36853002,0.70623145,0.50731707,0.61797753,0.89915966,0.77884615,0.41097561,0.62019231,0.11219512,0.15609756,0.26829268,"Jorge Mateo",17273,622761
"Seth Brown","OAK",0.34402655,0.76388889,0.5193299,0.51125402,0.86868687,0.73076923,0.41752577,0.625,0.13954984,0.12861736,0.2681672,"Seth Brown",18171,664913
"Ke'Bryan Hayes","PIT",0.31516588,0.62619808,0.44761905,0.69924812,0.93877551,0.84194529,0.42585034,0.62373737,0.0707002,0.1971448,0.267845,"Ke'Bryan Hayes",18577,663647
"Maikel Garcia","KCR",0.24825986,0.65229616,0.4309322,0.73208723,0.9137931,0.85644051,0.45211864,0.65654952,0.0618382,0.20584498,0.26768319,"Maikel Garcia",22715,672580
"Austin Riley","ATL",0.31400966,0.74714104,0.50109769,0.55076923,0.84863946,0.74260679,0.43194292,0.62899787,0.12883772,0.13870614,0.26754386,"Austin Riley",18360,663586
"Andrew Vaughn","CHW",0.36151603,0.68290155,0.49422336,0.65927419,0.90288316,0.7982684,0.41292255,0.64297254,0.09965783,0.16766467,0.2673225,"Andrew Vaughn",26197,683734
"Brett Wisely","SFG",0.32604736,0.69178082,0.48834853,0.62569832,0.90429043,0.80082988,0.443769,0.62132353,0.09716599,0.17004049,0.26720648,"Brett Wisely",27735,689172
"Aaron Judge","NYY",0.21256606,0.71912014,0.42010399,0.48895028,0.80705882,0.7120462,0.40970537,0.51846591,0.12088673,0.1461725,0.26705923,"Aaron Judge",15640,592450
"Masyn Winn","STL",0.32987552,0.64234234,0.46557121,0.7148847,0.91023843,0.83193277,0.4342723,0.62009419,0.07815553,0.1887456,0.26690113,"Masyn Winn",27479,691026
"J.T. Realmuto","PHI",0.3481153,0.71218796,0.50473784,0.61783439,0.87628866,0.7747184,0.43019583,0.61743341,0.11349306,0.15321564,0.2667087,"J.T. Realmuto",11739,592663
"Brandon Lowe","TBR",0.35830619,0.80512091,0.55172414,0.4969697,0.81448763,0.69754464,0.43288177,0.63764706,0.16687192,0.09975369,0.26662562,"Brandon Lowe",18882,664040
"Victor Caratini","HOU",0.30136986,0.69230769,0.47256978,0.63068182,0.86984127,0.78411405,0.43792108,0.58394161,0.10192308,0.16442308,0.26634615,"Victor Caratini",14968,605170
"Otto Lopez","MIA",0.35730594,0.71150972,0.51067961,0.63578275,0.90756303,0.79974651,0.43300971,0.65207373,0.10213316,0.16418875,0.26632191,"Otto Lopez",19608,672640
"Leody Taveras","TEX",0.31656548,0.70877193,0.48356574,0.59452055,0.85643564,0.75798146,0.42579681,0.62759924,0.11697362,0.14932802,0.26630164,"Leody Taveras",18900,665750
"Jarren Duran","BOS",0.31238447,0.70819672,0.48223707,0.60157791,0.88657407,0.78118162,0.42912416,0.58503401,0.10533708,0.16081461,0.26615169,"Jarren Duran",24617,680776
"Josh Smith","TEX",0.30038911,0.66794626,0.46497636,0.65803109,0.87931034,0.80036969,0.44778685,0.64864865,0.09282338,0.17318436,0.26600774,"Josh Smith",26396,669701
"Wenceel Pérez","DET",0.32942326,0.64714086,0.46034483,0.72106825,0.87715517,0.81148564,0.41206897,0.62823529,0.08656036,0.17938497,0.26594533,"Wenceel Perez",22857,672761
"Tyler Stephenson","CIN",0.27369353,0.65318627,0.43290488,0.58899676,0.9043152,0.78859857,0.41953728,0.61941748,0.09137577,0.17453799,0.26591376,"Tyler Stephenson",17988,663886
"Christian Vázquez","MIN",0.38753799,0.69151139,0.51621385,0.70980392,0.89820359,0.81663837,0.42331288,0.69206349,0.09465381,0.17090272,0.26555653,"Christian Vazquez",9774,543877
"Rafael Devers","BOS",0.33261339,0.75659229,0.50863158,0.65151515,0.76005362,0.71854305,0.41515789,0.59733777,0.14285714,0.12268908,0.26554622,"Rafael Devers",17350,646240
"Bryan Reynolds","PIT",0.34495641,0.75951904,0.50384025,0.57761733,0.84036939,0.72942073,0.38325653,0.62572254,0.1362241,0.12893323,0.26515733,"Bryan Reynolds",19326,668804
"Orlando Arcia","ATL",0.31222057,0.73131313,0.49013722,0.59665871,0.86187845,0.76465442,0.4245283,0.64451827,0.11535163,0.14965695,0.26500858,"Orlando Arcia",13185,606115
"Amed Rosario","- - -",0.42323651,0.7412731,0.55123967,0.65359477,0.88919668,0.78110945,0.40247934,0.6416185,0.12046205,0.14438944,0.26485149,"Amed Rosario",15518,642708
"Carlos Correa","MIN",0.28553922,0.67799642,0.44509091,0.70815451,0.88126649,0.81535948,0.40654545,0.61852861,0.08218182,0.18254545,0.26472727,"Carlos Correa",14162,621043
"Geraldo Perdomo","ARI",0.22055427,0.60644258,0.39493671,0.79057592,0.94688222,0.89903846,0.45189873,0.62113402,0.03987342,0.22468354,0.26455696,"Geraldo Perdomo",22799,672695
"Gunnar Henderson","BAL",0.26157547,0.68613139,0.44233425,0.62298851,0.85815603,0.7782982,0.42575967,0.55632823,0.09782983,0.16672408,0.26455391,"Gunnar Henderson",26289,683002
"Wilmer Flores","SFG",0.3122807,0.62182741,0.43879668,0.80337079,0.93877551,0.88179669,0.40871369,0.59090909,0.05186722,0.2126556,0.26452282,"Wilmer Flores",5827,527038
"David Fry","CLE",0.32312925,0.72511848,0.49108911,0.62105263,0.86492375,0.77150538,0.41782178,0.62244898,0.1121372,0.15237467,0.26451187,"David Fry",24934,681807
"Royce Lewis","MIN",0.36241611,0.75819672,0.51905921,0.60740741,0.85675676,0.7515625,0.39578264,0.63384615,0.12884927,0.13533225,0.26418152,"Royce Lewis",20437,668904
"Cal Raleigh","SEA",0.36090727,0.76059113,0.52227526,0.58040665,0.81735751,0.71972582,0.40373906,0.63535032,0.1462058,0.11760032,0.26380612,"Cal Raleigh",21534,663728
"Jason Heyward","- - -",0.35392321,0.69411765,0.49511719,0.61792453,0.89491525,0.7790927,0.41503906,0.63178295,0.10926829,0.15414634,0.26341463,"Jason Heyward",4940,518792
"TJ Friedl","CIN",0.27083333,0.63427562,0.43079316,0.68205128,0.92200557,0.83754513,0.44012442,0.55131965,0.06993007,0.19347319,0.26340326,"TJ Friedl",19522,670770
"Lenyn Sosa","CHW",0.41309824,0.68096055,0.5265069,0.74085366,0.88664987,0.82068966,0.42338417,0.63143631,0.0942029,0.16884058,0.26304348,"Lenyn Sosa",22896,672820
